"5","Chelsey Dietrich","True","suscipit qui totam"
"5","Chelsey Dietrich","False","voluptates eum voluptas et dicta"
"5","Chelsey Dietrich","True","quidem at rerum quis ex aut sit quam"
"5","Chelsey Dietrich","False","sunt veritatis ut voluptate"
"5","Chelsey Dietrich","True","et quia ad iste a"
"5","Chelsey Dietrich","True","incidunt ut saepe autem"
"5","Chelsey Dietrich","True","laudantium quae eligendi consequatur quia et vero autem"
"5","Chelsey Dietrich","False","vitae aut excepturi laboriosam sint aliquam et et accusantium"
"5","Chelsey Dietrich","True","sequi ut omnis et"
"5","Chelsey Dietrich","True","molestiae nisi accusantium tenetur dolorem et"
"5","Chelsey Dietrich","True","nulla quis consequatur saepe qui id expedita"
"5","Chelsey Dietrich","True","in omnis laboriosam"
"5","Chelsey Dietrich","True","odio iure consequatur molestiae quibusdam necessitatibus quia sint"
"5","Chelsey Dietrich","False","facilis modi saepe mollitia"
"5","Chelsey Dietrich","True","vel nihil et molestiae iusto assumenda nemo quo ut"
"5","Chelsey Dietrich","False","nobis suscipit ducimus enim asperiores voluptas"
"5","Chelsey Dietrich","False","dolorum laboriosam eos qui iure aliquam"
"5","Chelsey Dietrich","True","debitis accusantium ut quo facilis nihil quis sapiente necessitatibus"
"5","Chelsey Dietrich","False","neque voluptates ratione"
"5","Chelsey Dietrich","False","excepturi a et neque qui expedita vel voluptate"
